day,month,date,county,state,county_state,device_count,distance_traveled_from_home,completely_home_device_count,median_home_dwell_time,unemp_rate_perc
31,1,1/31/20,Aleutians East,AK,Aleutians East AK,24,530406,5,228,4.2
31,1,1/31/20,Aleutians West,AK,Aleutians West AK,72,3623606,21,106,3.4
31,1,1/31/20,Anchorage,AK,Anchorage AK,10999,1301674,1715,117263,5.1
31,1,1/31/20,Bethel,AK,Bethel AK,215,54304,49,1399,12.8
31,1,1/31/20,Bristol Bay,AK,Bristol Bay AK,16,5753,4,166,14
31,1,1/31/20,Denali,AK,Denali AK,51,120297,6,863,19.7
31,1,1/31/20,Dillingham,AK,Dillingham AK,50,791477,11,2134,8.7
31,1,1/31/20,Fairbanks North Star,AK,Fairbanks North Star AK,3533,616409,584,25258,5.9
31,1,1/31/20,Haines,AK,Haines AK,50,71744,16,390,16
31,1,1/31/20,Juneau,AK,Juneau AK,993,164186,175,13237,4.7
31,1,1/31/20,Kenai Peninsula,AK,Kenai Peninsula AK,1992,464356,332,21151,7.8
31,1,1/31/20,Ketchikan Gateway,AK,Ketchikan Gateway AK,332,101955,68,9671,7.8
31,1,1/31/20,Kodiak Island,AK,Kodiak Island AK,325,108849,59,3662,7.6
31,1,1/31/20,Lake and Peninsula,AK,Lake and Peninsula AK,11,2001430,2,0,11.1
31,1,1/31/20,Matanuska-Susitna,AK,Matanuska-Susitna AK,4572,710772,750,30893,7.4
31,1,1/31/20,Nome,AK,Nome AK,130,722170,38,4050,10.2
31,1,1/31/20,North Slope,AK,North Slope AK,433,1683095,49,238,5.9
31,1,1/31/20,Northwest Arctic,AK,Northwest Arctic AK,93,448819,24,1680,13.5
31,1,1/31/20,Sitka,AK,Sitka AK,204,103058,46,4681,4.9
31,1,1/31/20,Southeast Fairbanks,AK,Southeast Fairbanks AK,185,120215,39,486,9.8
31,1,1/31/20,Valdez-Cordova,AK,Valdez-Cordova AK,269,402200,50,4815,10.7
31,1,1/31/20,Yakutat,AK,Yakutat AK,6,2215780,1,292,11.9
31,1,1/31/20,Yukon-Koyukuk,AK,Yukon-Koyukuk AK,49,2613317,11,2595,13.8
31,1,1/31/20,Autauga,AL,Autauga AL,4679,373634,532,25257,3
31,1,1/31/20,Baldwin,AL,Baldwin AL,17757,1495437,2358,65032,3.1
31,1,1/31/20,Barbour,AL,Barbour AL,1490,338085,205,14308,3.8
31,1,1/31/20,Bibb,AL,Bibb AL,1738,206417,200,12006,3.3
31,1,1/31/20,Blount,AL,Blount AL,5481,573433,645,27754,3
31,1,1/31/20,Bullock,AL,Bullock AL,472,114953,64,4097,4.2
31,1,1/31/20,Butler,AL,Butler AL,1174,234338,144,12042,4.2
31,1,1/31/20,Calhoun,AL,Calhoun AL,8406,781688,972,59398,3.8
31,1,1/31/20,Chambers,AL,Chambers AL,2346,355112,277,22645,3.3
31,1,1/31/20,Cherokee,AL,Cherokee AL,2065,299006,247,14445,3.4
31,1,1/31/20,Chilton,AL,Chilton AL,3765,408067,380,22348,2.9
31,1,1/31/20,Choctaw,AL,Choctaw AL,927,303737,112,7756,5.4
31,1,1/31/20,Clarke,AL,Clarke AL,1562,293205,186,15503,6.2
31,1,1/31/20,Clay,AL,Clay AL,953,206492,102,9334,3.3
31,1,1/31/20,Cleburne,AL,Cleburne AL,1436,244011,137,10205,3.4
31,1,1/31/20,Coffee,AL,Coffee AL,4053,384520,492,23510,3.1
31,1,1/31/20,Colbert,AL,Colbert AL,4506,408022,482,32112,4.2
31,1,1/31/20,Conecuh,AL,Conecuh AL,602,175114,71,6732,4.3
31,1,1/31/20,Coosa,AL,Coosa AL,714,196335,86,5544,3.5
31,1,1/31/20,Covington,AL,Covington AL,3225,418249,400,28049,3.6
31,1,1/31/20,Crenshaw,AL,Crenshaw AL,1174,174723,172,6670,3.5
31,1,1/31/20,Cullman,AL,Cullman AL,7356,658605,850,46658,2.8
31,1,1/31/20,Dale,AL,Dale AL,3514,429778,482,31241,3.2
31,1,1/31/20,Dallas,AL,Dallas AL,1954,421913,268,20378,5.5
31,1,1/31/20,De Kalb,AL,De Kalb AL,4752,623805,611,36433,3.2
31,1,1/31/20,Elmore,AL,Elmore AL,7276,634287,833,34174,3
31,1,1/31/20,Escambia,AL,Escambia AL,2194,254680,261,17920,3.8
31,1,1/31/20,Etowah,AL,Etowah AL,7919,646741,993,53654,4.2
31,1,1/31/20,Fayette,AL,Fayette AL,1355,273920,135,12762,3.5
31,1,1/31/20,Franklin,AL,Franklin AL,2222,252474,201,17124,3.1
31,1,1/31/20,Geneva,AL,Geneva AL,2108,320554,216,17412,3.2
31,1,1/31/20,Greene,AL,Greene AL,375,227374,70,3475,5.9
31,1,1/31/20,Hale,AL,Hale AL,1028,240025,121,8246,4.3
31,1,1/31/20,Henry,AL,Henry AL,1416,346559,174,12697,3.8
31,1,1/31/20,Houston,AL,Houston AL,8730,619802,1072,49794,3.2
31,1,1/31/20,Jackson,AL,Jackson AL,3481,554352,445,29485,3.7
31,1,1/31/20,Jefferson,AL,Jefferson AL,45730,4366021,5759,324571,3
31,1,1/31/20,Lamar,AL,Lamar AL,1339,253001,157,11797,3.3
31,1,1/31/20,Lauderdale,AL,Lauderdale AL,7720,652737,910,53121,3.5
31,1,1/31/20,Lawrence,AL,Lawrence AL,2367,447358,253,21621,3.3
31,1,1/31/20,Lee,AL,Lee AL,12945,590369,1474,58955,2.9
31,1,1/31/20,Limestone,AL,Limestone AL,7115,493634,897,32933,2.8
31,1,1/31/20,Lowndes,AL,Lowndes AL,540,323765,67,5691,5.6
31,1,1/31/20,Macon,AL,Macon AL,858,359333,156,9108,4.3
31,1,1/31/20,Madison,AL,Madison AL,25283,1562021,3385,133342,2.7
31,1,1/31/20,Marengo,AL,Marengo AL,1460,348096,173,15516,4
31,1,1/31/20,Marion,AL,Marion AL,2660,271582,292,20429,3.9
31,1,1/31/20,Marshall,AL,Marshall AL,7348,584902,883,45670,2.7
31,1,1/31/20,Mobile,AL,Mobile AL,26970,2228530,3940,154098,4
31,1,1/31/20,Monroe,AL,Monroe AL,1293,292806,153,13348,5.4
31,1,1/31/20,Montgomery,AL,Montgomery AL,12381,2789305,1764,116330,3.3
31,1,1/31/20,Morgan,AL,Morgan AL,9369,630640,1217,55920,2.8
31,1,1/31/20,Perry,AL,Perry AL,484,176139,63,8112,5.2
31,1,1/31/20,Pickens,AL,Pickens AL,1333,329116,178,12477,3.6
31,1,1/31/20,Pike,AL,Pike AL,2144,222671,228,13801,3.5
31,1,1/31/20,Randolph,AL,Randolph AL,1846,307331,249,13907,3.3
31,1,1/31/20,Russell,AL,Russell AL,3605,778924,542,23364,3.2
31,1,1/31/20,Shelby,AL,Shelby AL,20087,1285347,2244,89136,2.4
31,1,1/31/20,St Clair,AL,St Clair AL,8842,547813,1058,30426,2.9
31,1,1/31/20,Sumter,AL,Sumter AL,625,289213,90,8353,4.4
31,1,1/31/20,Talladega,AL,Talladega AL,6521,551662,894,37332,3.7
31,1,1/31/20,Tallapoosa,AL,Tallapoosa AL,2998,446656,347,24590,3.4
31,1,1/31/20,Tuscaloosa,AL,Tuscaloosa AL,16142,947328,1877,69859,2.8
31,1,1/31/20,Walker,AL,Walker AL,5803,694649,704,39834,3.9
31,1,1/31/20,Washington,AL,Washington AL,1119,372454,125,10462,5
31,1,1/31/20,Wilcox,AL,Wilcox AL,490,218264,66,5181,8.9
31,1,1/31/20,Winston,AL,Winston AL,1725,250345,169,16076,3.8
31,1,1/31/20,Arkansas,AR,Arkansas AR,1196,166923,121,13566,3.6
31,1,1/31/20,Ashley,AR,Ashley AR,1356,213850,154,13039,7.1
31,1,1/31/20,Baxter,AR,Baxter AR,1992,245848,336,22654,4.7
31,1,1/31/20,Benton,AR,Benton AR,18167,1115370,2331,106597,2.9
31,1,1/31/20,Boone,AR,Boone AR,2499,216516,350,15881,3.9
31,1,1/31/20,Bradley,AR,Bradley AR,552,140093,89,7271,4.6
31,1,1/31/20,Calhoun,AR,Calhoun AR,302,95705,32,2697,5.1
31,1,1/31/20,Carroll,AR,Carroll AR,1337,164667,243,11468,4.5
31,1,1/31/20,Chicot,AR,Chicot AR,517,240712,82,5685,8.8
31,1,1/31/20,Clark,AR,Clark AR,1348,216464,165,12294,4.2
31,1,1/31/20,Clay,AR,Clay AR,1013,176139,128,13447,6
